DateTime,Water ( Gallons )
1/20/2014 0:00,600
1/21/2014 0:00,900
1/22/2014 0:00,6400
1/23/2014 0:00,5700
1/24/2014 0:00,5700
1/25/2014 0:00,500
1/26/2014 0:00,700
1/27/2014 0:00,500
1/28/2014 0:00,5400
1/29/2014 0:00,1200
1/30/2014 0:00,5800
1/31/2014 0:00,5500
2/1/2014 0:00,4000
2/2/2014 0:00,700
2/3/2014 0:00,500
2/4/2014 0:00,6200
2/5/2014 0:00,6100
2/6/2014 0:00,5600
2/7/2014 0:00,4400
2/8/2014 0:00,1700
2/9/2014 0:00,2700
2/10/2014 0:00,600
2/11/2014 0:00,5700
2/12/2014 0:00,4800
2/13/2014 0:00,5500
2/14/2014 0:00,5600
2/15/2014 0:00,4200
2/16/2014 0:00,1700
2/17/2014 0:00,1000
2/18/2014 0:00,8200
2/19/2014 0:00,10200
2/20/2014 0:00,8200
2/21/2014 0:00,12200
2/22/2014 0:00,8500
2/23/2014 0:00,2100
2/24/2014 0:00,1000
2/25/2014 0:00,7900
2/26/2014 0:00,9500
2/27/2014 0:00,5300
2/28/2014 0:00,5600
3/1/2014 0:00,4100
3/2/2014 0:00,1800
3/3/2014 0:00,700
3/4/2014 0:00,4800
3/5/2014 0:00,3800
3/6/2014 0:00,5100
3/7/2014 0:00,5800
3/8/2014 0:00,3200
3/9/2014 0:00,600
3/10/2014 0:00,400
3/11/2014 0:00,1700
3/12/2014 0:00,1600
3/13/2014 0:00,1400
3/14/2014 0:00,1500
3/15/2014 0:00,1400
3/16/2014 0:00,600
3/17/2014 0:00,400
3/18/2014 0:00,7700
3/19/2014 0:00,9800
3/20/2014 0:00,8200
3/21/2014 0:00,12200
3/22/2014 0:00,11800
3/23/2014 0:00,1800
3/24/2014 0:00,1000
3/25/2014 0:00,8400
3/26/2014 0:00,8900
3/27/2014 0:00,8600
3/28/2014 0:00,12000
3/29/2014 0:00,7400
3/30/2014 0:00,1500
3/31/2014 0:00,1000
4/1/2014 0:00,8700
4/2/2014 0:00,9200
4/3/2014 0:00,8400
4/4/2014 0:00,11800
4/5/2014 0:00,7600
4/6/2014 0:00,2000
4/7/2014 0:00,800
4/8/2014 0:00,5400
4/9/2014 0:00,6200
4/10/2014 0:00,8600
4/11/2014 0:00,12000
4/12/2014 0:00,7500
4/13/2014 0:00,1400
4/14/2014 0:00,1800
4/15/2014 0:00,5200
4/16/2014 0:00,5600
4/17/2014 0:00,8200
4/18/2014 0:00,11600
4/19/2014 0:00,7200
4/20/2014 0:00,700
4/21/2014 0:00,700
4/22/2014 0:00,8200
4/23/2014 0:00,9600
4/24/2014 0:00,8200
4/25/2014 0:00,11200
4/26/2014 0:00,7100
4/27/2014 0:00,800
4/28/2014 0:00,1100
4/29/2014 0:00,7700
4/30/2014 0:00,9300
5/1/2014 0:00,7700
5/2/2014 0:00,11400
5/3/2014 0:00,6800
5/4/2014 0:00,900
5/5/2014 0:00,800
5/6/2014 0:00,6000
5/7/2014 0:00,8900
5/8/2014 0:00,7800
5/9/2014 0:00,8300
5/10/2014 0:00,7900
5/11/2014 0:00,1400
5/12/2014 0:00,700
5/13/2014 0:00,4800
5/14/2014 0:00,4500
5/15/2014 0:00,4500
5/16/2014 0:00,1800
5/17/2014 0:00,2100
5/18/2014 0:00,600
5/19/2014 0:00,500
5/20/2014 0:00,7100
5/21/2014 0:00,9000
5/22/2014 0:00,6200
5/23/2014 0:00,8300
5/24/2014 0:00,6400
5/25/2014 0:00,500
5/26/2014 0:00,400
5/27/2014 0:00,500
5/28/2014 0:00,2000
5/29/2014 0:00,1600
5/30/2014 0:00,2100
5/31/2014 0:00,2500
6/1/2014 0:00,1100
6/2/2014 0:00,800
6/3/2014 0:00,4700
6/4/2014 0:00,4900
6/5/2014 0:00,5200
6/6/2014 0:00,7700
6/7/2014 0:00,5000
6/8/2014 0:00,600
6/9/2014 0:00,400
6/10/2014 0:00,5100
6/11/2014 0:00,8000
6/12/2014 0:00,5600
6/13/2014 0:00,7800
6/14/2014 0:00,5000
6/15/2014 0:00,700
6/16/2014 0:00,600
6/17/2014 0:00,5100
6/18/2014 0:00,8000
6/19/2014 0:00,2700
6/20/2014 0:00,5500
6/21/2014 0:00,6900
6/22/2014 0:00,800
6/23/2014 0:00,400
6/24/2014 0:00,3100
6/25/2014 0:00,2800
6/26/2014 0:00,2600
6/27/2014 0:00,2600
6/28/2014 0:00,2400
6/29/2014 0:00,700
6/30/2014 0:00,400
7/1/2014 0:00,2900
7/2/2014 0:00,4900
7/3/2014 0:00,5100
7/4/2014 0:00,9100
7/5/2014 0:00,2700
7/6/2014 0:00,400
7/7/2014 0:00,500
7/8/2014 0:00,5200
7/9/2014 0:00,7400
7/10/2014 0:00,5100
7/11/2014 0:00,7800
7/12/2014 0:00,5100
7/13/2014 0:00,800
7/14/2014 0:00,400
7/15/2014 0:00,5300
7/16/2014 0:00,7500
7/17/2014 0:00,2900
7/18/2014 0:00,2700
7/19/2014 0:00,2400
7/20/2014 0:00,800
7/21/2014 0:00,600
7/22/2014 0:00,5200
7/23/2014 0:00,5400
7/24/2014 0:00,5300
7/25/2014 0:00,7200
7/26/2014 0:00,7100
7/27/2014 0:00,500
7/28/2014 0:00,500
7/29/2014 0:00,5300
7/30/2014 0:00,6900
7/31/2014 0:00,5100
8/1/2014 0:00,9800
8/2/2014 0:00,4800
8/3/2014 0:00,800
8/4/2014 0:00,500
8/5/2014 0:00,5300
8/6/2014 0:00,7700
8/7/2014 0:00,3100
8/8/2014 0:00,6000
8/9/2014 0:00,10100
8/10/2014 0:00,600
8/11/2014 0:00,600
8/12/2014 0:00,6300
8/13/2014 0:00,13600
8/14/2014 0:00,3100
8/15/2014 0:00,7100
8/16/2014 0:00,17000
8/17/2014 0:00,900
8/18/2014 0:00,800
8/19/2014 0:00,6900
8/20/2014 0:00,10900
8/21/2014 0:00,3200
8/22/2014 0:00,6400
8/23/2014 0:00,15700
8/24/2014 0:00,800
8/25/2014 0:00,800
8/26/2014 0:00,7500
8/27/2014 0:00,10600
8/28/2014 0:00,6400
8/29/2014 0:00,10500
8/30/2014 0:00,13100
8/31/2014 0:00,1300
9/1/2014 0:00,500
9/2/2014 0:00,600
9/3/2014 0:00,9300
9/4/2014 0:00,6700
9/5/2014 0:00,10600
9/6/2014 0:00,12800
9/7/2014 0:00,700
9/8/2014 0:00,700
9/9/2014 0:00,10800
9/10/2014 0:00,14100
9/11/2014 0:00,14100
9/12/2014 0:00,6500
9/13/2014 0:00,4900
9/14/2014 0:00,900
9/15/2014 0:00,800
9/16/2014 0:00,7000
9/17/2014 0:00,7300
9/18/2014 0:00,6200
9/19/2014 0:00,6300
9/20/2014 0:00,5000
9/21/2014 0:00,1300
9/22/2014 0:00,900
9/23/2014 0:00,6600
9/24/2014 0:00,7000
9/25/2014 0:00,7100
9/26/2014 0:00,10300
9/27/2014 0:00,11400
9/28/2014 0:00,1100
9/29/2014 0:00,1400
9/30/2014 0:00,10700
10/1/2014 0:00,16600
10/2/2014 0:00,7000
10/3/2014 0:00,10700
10/4/2014 0:00,9200
10/5/2014 0:00,800
10/6/2014 0:00,900
10/7/2014 0:00,10200
10/8/2014 0:00,11800
10/9/2014 0:00,7200
10/10/2014 0:00,10700
10/11/2014 0:00,10100
10/12/2014 0:00,900
10/13/2014 0:00,800
10/14/2014 0:00,6600
10/15/2014 0:00,7100
10/16/2014 0:00,6900
10/17/2014 0:00,10500
10/18/2014 0:00,11600
10/19/2014 0:00,1000
10/20/2014 0:00,900
10/21/2014 0:00,10700
10/22/2014 0:00,13800
10/23/2014 0:00,7500
10/24/2014 0:00,10500
10/25/2014 0:00,11500
10/26/2014 0:00,2000
10/27/2014 0:00,1400
10/28/2014 0:00,10400
10/29/2014 0:00,16400
10/30/2014 0:00,7800
10/31/2014 0:00,10000
11/1/2014 0:00,11200
11/2/2014 0:00,1100
11/3/2014 0:00,900
11/4/2014 0:00,6200
11/5/2014 0:00,6400
11/6/2014 0:00,5600
11/7/2014 0:00,6100
11/8/2014 0:00,4700
11/9/2014 0:00,2000
11/10/2014 0:00,1100
11/11/2014 0:00,5800
11/12/2014 0:00,6300
11/13/2014 0:00,5500
11/14/2014 0:00,5800
11/15/2014 0:00,4300
11/16/2014 0:00,1000
11/17/2014 0:00,800
11/18/2014 0:00,5800
11/19/2014 0:00,6600
11/20/2014 0:00,5800
11/21/2014 0:00,6000
11/22/2014 0:00,4900
11/23/2014 0:00,1100
11/24/2014 0:00,900
11/25/2014 0:00,5800
11/26/2014 0:00,4500
11/27/2014 0:00,1900
11/28/2014 0:00,700
11/29/2014 0:00,500
11/30/2014 0:00,500
12/1/2014 0:00,700
12/2/2014 0:00,5300
12/3/2014 0:00,6100
12/4/2014 0:00,6300
12/5/2014 0:00,5800
12/6/2014 0:00,4300
12/7/2014 0:00,1200
12/8/2014 0:00,900
12/9/2014 0:00,7500
12/10/2014 0:00,13100
12/11/2014 0:00,4300
12/12/2014 0:00,4000
12/13/2014 0:00,3400
12/14/2014 0:00,1800
12/15/2014 0:00,700
12/16/2014 0:00,2900
12/17/2014 0:00,2500
12/18/2014 0:00,1900
12/19/2014 0:00,1700
12/20/2014 0:00,1600
12/21/2014 0:00,500
12/22/2014 0:00,400
12/23/2014 0:00,600
12/24/2014 0:00,400
12/25/2014 0:00,400
12/26/2014 0:00,400
12/27/2014 0:00,400
12/28/2014 0:00,400
12/29/2014 0:00,400
12/30/2014 0:00,500
12/31/2014 0:00,400
1/1/2015 0:00,500
1/2/2015 0:00,400
1/3/2015 0:00,1000
1/4/2015 0:00,500
1/5/2015 0:00,400
1/6/2015 0:00,1800
1/7/2015 0:00,1800
1/8/2015 0:00,1800
1/9/2015 0:00,1700
1/10/2015 0:00,1600
1/11/2015 0:00,500
1/12/2015 0:00,500
1/13/2015 0:00,2400
1/14/2015 0:00,2200
1/15/2015 0:00,2100
1/16/2015 0:00,2300
1/17/2015 0:00,2200
1/18/2015 0:00,900
1/19/2015 0:00,500
1/20/2015 0:00,900
1/21/2015 0:00,5900
1/22/2015 0:00,6600
1/23/2015 0:00,5700
1/24/2015 0:00,4400
1/25/2015 0:00,700
1/26/2015 0:00,600
1/27/2015 0:00,6300
1/28/2015 0:00,6600
1/29/2015 0:00,6100
1/30/2015 0:00,6600
1/31/2015 0:00,4800
2/1/2015 0:00,900
2/2/2015 0:00,600
2/3/2015 0:00,6300
2/4/2015 0:00,6300
2/5/2015 0:00,5700
2/6/2015 0:00,6300
2/7/2015 0:00,5300
2/8/2015 0:00,1700
2/9/2015 0:00,800
2/10/2015 0:00,6600
2/11/2015 0:00,7100
2/12/2015 0:00,6900
2/13/2015 0:00,10700
2/14/2015 0:00,11200
2/15/2015 0:00,1200
2/16/2015 0:00,1100
2/17/2015 0:00,5800
2/18/2015 0:00,5800
2/19/2015 0:00,5800
2/20/2015 0:00,6100
2/21/2015 0:00,4500
2/22/2015 0:00,900
2/23/2015 0:00,800
2/24/2015 0:00,5900
2/25/2015 0:00,5000
2/26/2015 0:00,6500
2/27/2015 0:00,6500
2/28/2015 0:00,4100
3/1/2015 0:00,800
3/2/2015 0:00,900
3/3/2015 0:00,5800
3/4/2015 0:00,6300
3/5/2015 0:00,5600
3/6/2015 0:00,2800
3/7/2015 0:00,4800
3/8/2015 0:00,1900
3/9/2015 0:00,900
3/10/2015 0:00,5700
3/11/2015 0:00,7100
3/12/2015 0:00,6200
3/13/2015 0:00,6200
3/14/2015 0:00,3800
3/15/2015 0:00,800
3/16/2015 0:00,500
3/17/2015 0:00,1500
3/18/2015 0:00,1700
3/19/2015 0:00,1800
3/20/2015 0:00,2500
3/21/2015 0:00,1400
3/22/2015 0:00,500
3/23/2015 0:00,600
3/24/2015 0:00,5700
3/25/2015 0:00,6400
3/26/2015 0:00,5800
3/27/2015 0:00,6500
3/28/2015 0:00,4500
3/29/2015 0:00,2800
3/30/2015 0:00,1000
3/31/2015 0:00,6000
4/1/2015 0:00,6600
4/2/2015 0:00,5800
4/3/2015 0:00,6100
4/4/2015 0:00,4200
4/5/2015 0:00,800
4/6/2015 0:00,700
4/7/2015 0:00,10400
4/8/2015 0:00,11900
4/9/2015 0:00,6200
4/10/2015 0:00,10500
4/11/2015 0:00,11100
4/12/2015 0:00,2200
4/13/2015 0:00,1000
4/14/2015 0:00,10100
4/15/2015 0:00,12900
4/16/2015 0:00,6400
4/17/2015 0:00,10200
4/18/2015 0:00,10400
4/19/2015 0:00,2500
4/20/2015 0:00,2000
4/21/2015 0:00,10700
4/22/2015 0:00,11800
4/23/2015 0:00,5800
4/24/2015 0:00,10900
4/25/2015 0:00,9900
4/26/2015 0:00,3000
4/27/2015 0:00,1300
4/28/2015 0:00,6000
4/29/2015 0:00,7700
4/30/2015 0:00,6300
5/1/2015 0:00,9500
5/2/2015 0:00,11200
5/3/2015 0:00,1000
5/4/2015 0:00,1300
5/5/2015 0:00,9800
5/6/2015 0:00,12400
5/7/2015 0:00,5700
5/8/2015 0:00,6400
5/9/2015 0:00,4000
5/10/2015 0:00,1100
5/11/2015 0:00,900
5/12/2015 0:00,3000
5/13/2015 0:00,4000
5/14/2015 0:00,3800
5/15/2015 0:00,3200
5/16/2015 0:00,3000
5/17/2015 0:00,1200
5/18/2015 0:00,700
5/19/2015 0:00,3000
5/20/2015 0:00,2200
5/21/2015 0:00,2400
5/22/2015 0:00,2200
5/23/2015 0:00,1900
5/24/2015 0:00,1400
5/25/2015 0:00,1100
5/26/2015 0:00,600
5/27/2015 0:00,3400
5/28/2015 0:00,4000
5/29/2015 0:00,4000
5/30/2015 0:00,4600
5/31/2015 0:00,1100
6/1/2015 0:00,500
6/2/2015 0:00,2300
6/3/2015 0:00,2400
6/4/2015 0:00,2400
6/5/2015 0:00,3000
6/6/2015 0:00,2600
6/7/2015 0:00,600
6/8/2015 0:00,600
6/9/2015 0:00,7500
6/10/2015 0:00,7700
6/11/2015 0:00,6400
6/12/2015 0:00,10600
6/13/2015 0:00,6500
6/14/2015 0:00,700
6/15/2015 0:00,700
6/16/2015 0:00,3300
6/17/2015 0:00,2500
6/18/2015 0:00,2700
6/19/2015 0:00,2900
6/20/2015 0:00,2500
6/21/2015 0:00,800
6/22/2015 0:00,600
6/23/2015 0:00,3400
6/24/2015 0:00,3000
6/25/2015 0:00,2900
6/26/2015 0:00,2900
6/27/2015 0:00,3000
6/28/2015 0:00,1500
6/29/2015 0:00,500
6/30/2015 0:00,3100
7/1/2015 0:00,3100
7/2/2015 0:00,3600
7/3/2015 0:00,6900
7/4/2015 0:00,8700
7/5/2015 0:00,600
7/6/2015 0:00,600
7/7/2015 0:00,600
7/8/2015 0:00,6100
7/9/2015 0:00,6600
7/10/2015 0:00,10700
7/11/2015 0:00,6900
7/12/2015 0:00,900
7/13/2015 0:00,500
7/14/2015 0:00,7500
7/15/2015 0:00,8300
7/16/2015 0:00,6900
7/17/2015 0:00,12100
7/18/2015 0:00,6200
7/19/2015 0:00,800
7/20/2015 0:00,600
7/21/2015 0:00,6800
7/22/2015 0:00,5900
7/23/2015 0:00,6000
7/24/2015 0:00,10300
7/25/2015 0:00,5600
7/26/2015 0:00,800
7/27/2015 0:00,600
7/28/2015 0:00,7000
7/29/2015 0:00,7900
7/30/2015 0:00,6500
7/31/2015 0:00,10300
8/1/2015 0:00,9500
8/2/2015 0:00,1100
8/3/2015 0:00,700
8/4/2015 0:00,7000
8/5/2015 0:00,6700
8/6/2015 0:00,6800
8/7/2015 0:00,9900
8/8/2015 0:00,8900
8/9/2015 0:00,600
8/10/2015 0:00,400
8/11/2015 0:00,7000
8/12/2015 0:00,9400
8/13/2015 0:00,7100
8/14/2015 0:00,11500
8/15/2015 0:00,7000
8/16/2015 0:00,1000
8/17/2015 0:00,500
8/18/2015 0:00,6800
8/19/2015 0:00,7200
8/20/2015 0:00,7100
8/21/2015 0:00,7000
8/22/2015 0:00,2800
8/23/2015 0:00,700
8/24/2015 0:00,900
8/25/2015 0:00,7200
8/26/2015 0:00,6400
8/27/2015 0:00,6500
8/28/2015 0:00,11000
8/29/2015 0:00,8700
8/30/2015 0:00,1200
8/31/2015 0:00,600
9/1/2015 0:00,10500
9/2/2015 0:00,13600
9/3/2015 0:00,12000
9/4/2015 0:00,15100
9/5/2015 0:00,9900
9/6/2015 0:00,1200
9/7/2015 0:00,4400
9/8/2015 0:00,14300
9/9/2015 0:00,10300
9/10/2015 0:00,7000
9/11/2015 0:00,7900
9/12/2015 0:00,5900
9/13/2015 0:00,1000
9/14/2015 0:00,1000
9/15/2015 0:00,7500
9/16/2015 0:00,8300
9/17/2015 0:00,7600
9/18/2015 0:00,7900
9/19/2015 0:00,5800
9/20/2015 0:00,1100
