DateTime,Water ( Gallons )
7/17/2014 0:00,2908
7/18/2014 0:00,598
7/19/2014 0:00,1240
7/20/2014 0:00,235
7/21/2014 0:00,184
7/22/2014 0:00,976
7/23/2014 0:00,537
7/24/2014 0:00,279
7/25/2014 0:00,801
7/26/2014 0:00,804
7/27/2014 0:00,321
7/28/2014 0:00,649
7/29/2014 0:00,1288
7/30/2014 0:00,1446
7/31/2014 0:00,422
8/1/2014 0:00,475
8/2/2014 0:00,552
8/3/2014 0:00,151
8/4/2014 0:00,145
8/5/2014 0:00,972
8/6/2014 0:00,1160
8/7/2014 0:00,1422
8/8/2014 0:00,1390
8/9/2014 0:00,1371
8/10/2014 0:00,1100
8/11/2014 0:00,4333
8/12/2014 0:00,1686
8/13/2014 0:00,3129
8/14/2014 0:00,3302
8/15/2014 0:00,1266
8/16/2014 0:00,1895
8/17/2014 0:00,935
8/18/2014 0:00,289
8/19/2014 0:00,781
8/20/2014 0:00,1193
8/21/2014 0:00,1268
8/22/2014 0:00,1168
8/23/2014 0:00,1633
8/24/2014 0:00,3173
8/25/2014 0:00,6307
8/26/2014 0:00,5005
8/27/2014 0:00,5925
8/28/2014 0:00,6891
8/29/2014 0:00,4418
8/30/2014 0:00,6370
8/31/2014 0:00,4132
9/1/2014 0:00,3863
9/2/2014 0:00,4471
9/3/2014 0:00,4578
9/4/2014 0:00,4297
9/5/2014 0:00,5084
9/6/2014 0:00,3999
9/7/2014 0:00,4452
9/8/2014 0:00,5104
9/9/2014 0:00,4755
9/10/2014 0:00,5043
9/11/2014 0:00,5043
9/12/2014 0:00,4989
9/13/2014 0:00,5638
9/14/2014 0:00,4212
9/15/2014 0:00,5359
9/16/2014 0:00,4768
9/17/2014 0:00,4803
9/18/2014 0:00,4603
9/19/2014 0:00,5036
9/20/2014 0:00,4885
9/21/2014 0:00,4746
9/22/2014 0:00,4903
9/23/2014 0:00,4485
9/24/2014 0:00,4461
9/25/2014 0:00,6259
9/26/2014 0:00,5316
9/27/2014 0:00,4617
9/28/2014 0:00,4624
9/29/2014 0:00,4862
9/30/2014 0:00,6081
10/1/2014 0:00,6275
10/2/2014 0:00,6481
10/3/2014 0:00,6174
10/4/2014 0:00,6739
10/5/2014 0:00,5736
