DateTime,Water ( Gallons )
1/2/2015 0:00,687
1/3/2015 0:00,1094
1/4/2015 0:00,719
1/5/2015 0:00,709
1/6/2015 0:00,709
1/7/2015 0:00,1039
1/8/2015 0:00,1097
1/9/2015 0:00,1037
1/10/2015 0:00,1021
1/11/2015 0:00,711
1/12/2015 0:00,708
1/13/2015 0:00,1211
1/14/2015 0:00,1168
1/15/2015 0:00,1209
1/16/2015 0:00,1180
1/17/2015 0:00,1209
1/18/2015 0:00,722
1/19/2015 0:00,723
1/20/2015 0:00,855
1/21/2015 0:00,2109
1/22/2015 0:00,1916
1/23/2015 0:00,1883
1/24/2015 0:00,1566
1/25/2015 0:00,765
1/26/2015 0:00,761
1/27/2015 0:00,1929
1/28/2015 0:00,2080
1/29/2015 0:00,2031
1/30/2015 0:00,1968
1/31/2015 0:00,1724
2/1/2015 0:00,833
2/2/2015 0:00,739
2/3/2015 0:00,1901
2/4/2015 0:00,2039
2/5/2015 0:00,2376
2/6/2015 0:00,2007
2/7/2015 0:00,1666
2/8/2015 0:00,931
2/9/2015 0:00,905
2/10/2015 0:00,2412
2/11/2015 0:00,2184
2/12/2015 0:00,2242
2/13/2015 0:00,2113
2/14/2015 0:00,1732
2/15/2015 0:00,724
2/16/2015 0:00,721
2/17/2015 0:00,1891
2/18/2015 0:00,1891
2/19/2015 0:00,2222
2/20/2015 0:00,2072
2/21/2015 0:00,1728
2/22/2015 0:00,873
2/23/2015 0:00,767
2/24/2015 0:00,1982
2/25/2015 0:00,1790
2/26/2015 0:00,2118
2/27/2015 0:00,1984
2/28/2015 0:00,1715
3/1/2015 0:00,762
3/2/2015 0:00,763
3/3/2015 0:00,1918
3/4/2015 0:00,2188
3/5/2015 0:00,2026
3/6/2015 0:00,1198
3/7/2015 0:00,1892
3/8/2015 0:00,1235
3/9/2015 0:00,747
3/10/2015 0:00,2074
3/11/2015 0:00,2172
3/12/2015 0:00,2337
3/13/2015 0:00,2058
3/14/2015 0:00,1601
3/15/2015 0:00,710
3/16/2015 0:00,672
3/17/2015 0:00,1261
3/18/2015 0:00,1080
3/19/2015 0:00,1163
3/20/2015 0:00,1095
3/21/2015 0:00,1062
3/22/2015 0:00,704
3/23/2015 0:00,729
3/24/2015 0:00,2192
3/25/2015 0:00,2198
3/26/2015 0:00,2224
3/27/2015 0:00,2139
3/28/2015 0:00,1851
3/29/2015 0:00,1020
3/30/2015 0:00,841
3/31/2015 0:00,2180
4/1/2015 0:00,2231
4/2/2015 0:00,2101
4/3/2015 0:00,2084
4/4/2015 0:00,1809
4/5/2015 0:00,939
4/6/2015 0:00,770
4/7/2015 0:00,2022
4/8/2015 0:00,2115
4/9/2015 0:00,2125
4/10/2015 0:00,1979
4/11/2015 0:00,1671
4/12/2015 0:00,818
4/13/2015 0:00,1673
4/14/2015 0:00,2632
4/15/2015 0:00,2130
4/16/2015 0:00,2121
4/17/2015 0:00,2067
4/18/2015 0:00,1592
4/19/2015 0:00,861
4/20/2015 0:00,756
4/21/2015 0:00,1953
4/22/2015 0:00,2002
4/23/2015 0:00,1924
4/24/2015 0:00,1929
4/25/2015 0:00,1764
4/26/2015 0:00,1050
4/27/2015 0:00,714
4/28/2015 0:00,2183
4/29/2015 0:00,2322
4/30/2015 0:00,1936
5/1/2015 0:00,1862
5/2/2015 0:00,1702
5/3/2015 0:00,865
5/4/2015 0:00,728
5/5/2015 0:00,1936
5/6/2015 0:00,1997
5/7/2015 0:00,2058
5/8/2015 0:00,1947
5/9/2015 0:00,1672
5/10/2015 0:00,739
5/11/2015 0:00,702
5/12/2015 0:00,1379
5/13/2015 0:00,1434
5/14/2015 0:00,1466
5/15/2015 0:00,1519
5/16/2015 0:00,1352
5/17/2015 0:00,837
5/18/2015 0:00,1477
5/19/2015 0:00,1172
5/20/2015 0:00,1238
5/21/2015 0:00,1005
5/22/2015 0:00,1126
5/23/2015 0:00,1008
5/24/2015 0:00,1013
5/25/2015 0:00,640
5/26/2015 0:00,616
5/27/2015 0:00,1116
5/28/2015 0:00,1086
5/29/2015 0:00,1136
5/30/2015 0:00,972
5/31/2015 0:00,721
6/1/2015 0:00,705
6/2/2015 0:00,1063
6/3/2015 0:00,1067
6/4/2015 0:00,1103
6/5/2015 0:00,1388
6/6/2015 0:00,1195
6/7/2015 0:00,646
6/8/2015 0:00,619
6/9/2015 0:00,1274
6/10/2015 0:00,1232
6/11/2015 0:00,1374
6/12/2015 0:00,1259
6/13/2015 0:00,1158
6/14/2015 0:00,633
6/15/2015 0:00,689
6/16/2015 0:00,1381
6/17/2015 0:00,1184
6/18/2015 0:00,1240
6/19/2015 0:00,1341
6/20/2015 0:00,1254
6/21/2015 0:00,655
6/22/2015 0:00,632
6/23/2015 0:00,1387
6/24/2015 0:00,1309
6/25/2015 0:00,1442
6/26/2015 0:00,1330
6/27/2015 0:00,1335
6/28/2015 0:00,693
6/29/2015 0:00,676
6/30/2015 0:00,1370
7/1/2015 0:00,1318
7/2/2015 0:00,1251
7/3/2015 0:00,1633
7/4/2015 0:00,1236
7/5/2015 0:00,615
7/6/2015 0:00,628
7/7/2015 0:00,628
7/8/2015 0:00,1372
7/9/2015 0:00,1366
7/10/2015 0:00,1407
7/11/2015 0:00,1154
7/12/2015 0:00,653
7/13/2015 0:00,613
7/14/2015 0:00,1288
7/15/2015 0:00,1284
7/16/2015 0:00,1279
7/17/2015 0:00,1295
7/18/2015 0:00,1210
7/19/2015 0:00,636
7/20/2015 0:00,608
7/21/2015 0:00,1281
7/22/2015 0:00,1224
7/23/2015 0:00,1327
7/24/2015 0:00,1182
7/25/2015 0:00,1170
7/26/2015 0:00,654
7/27/2015 0:00,799
7/28/2015 0:00,1511
7/29/2015 0:00,1334
7/30/2015 0:00,1208
7/31/2015 0:00,1304
8/1/2015 0:00,1129
8/2/2015 0:00,673
8/3/2015 0:00,653
8/4/2015 0:00,1371
8/5/2015 0:00,1369
8/6/2015 0:00,1240
8/7/2015 0:00,1254
8/8/2015 0:00,1317
8/9/2015 0:00,659
8/10/2015 0:00,619
8/11/2015 0:00,3902
8/12/2015 0:00,1319
8/13/2015 0:00,1418
8/14/2015 0:00,1211
8/15/2015 0:00,1146
8/16/2015 0:00,652
8/17/2015 0:00,608
8/18/2015 0:00,1158
8/19/2015 0:00,1244
8/20/2015 0:00,1189
8/21/2015 0:00,1097
8/22/2015 0:00,1099
8/23/2015 0:00,661
8/24/2015 0:00,676
8/25/2015 0:00,1138
8/26/2015 0:00,1285
8/27/2015 0:00,2165
8/28/2015 0:00,2260
8/29/2015 0:00,1679
8/30/2015 0:00,655
8/31/2015 0:00,650
9/1/2015 0:00,2036
9/2/2015 0:00,2063
9/3/2015 0:00,2130
9/4/2015 0:00,1929
9/5/2015 0:00,1748
9/6/2015 0:00,643
9/7/2015 0:00,631
9/8/2015 0:00,671
9/9/2015 0:00,2103
9/10/2015 0:00,2047
9/11/2015 0:00,2067
9/12/2015 0:00,1745
9/13/2015 0:00,706
9/14/2015 0:00,699
9/15/2015 0:00,2122
9/16/2015 0:00,2274
9/17/2015 0:00,2158
9/18/2015 0:00,2295
9/19/2015 0:00,1809
9/20/2015 0:00,779
9/21/2015 0:00,674
9/22/2015 0:00,2157
9/23/2015 0:00,2072
9/24/2015 0:00,2065
9/25/2015 0:00,2076
9/26/2015 0:00,1786
9/27/2015 0:00,667
9/28/2015 0:00,692
9/29/2015 0:00,2061
9/30/2015 0:00,2244
10/1/2015 0:00,2206
10/2/2015 0:00,1966
10/3/2015 0:00,1670
10/4/2015 0:00,705
10/5/2015 0:00,698
10/6/2015 0:00,2148
10/7/2015 0:00,2053
10/8/2015 0:00,2018
10/9/2015 0:00,2064
10/10/2015 0:00,1604
10/11/2015 0:00,660
10/12/2015 0:00,673
10/13/2015 0:00,2065
10/14/2015 0:00,2069
10/15/2015 0:00,2063
10/16/2015 0:00,2022
10/17/2015 0:00,1733
10/18/2015 0:00,654
10/19/2015 0:00,646
10/20/2015 0:00,2028
10/21/2015 0:00,2067
10/22/2015 0:00,1919
10/23/2015 0:00,1930
10/24/2015 0:00,1508
10/25/2015 0:00,621
10/26/2015 0:00,650
10/27/2015 0:00,2018
10/28/2015 0:00,2172
